Railroad_ID,Company_Name,Track_Length_km,Number_of_Trains,Daily_Passengers,Cargo_Tonnage_Tons,Accidents_2023,Maintenance_Expenses_USD,Revenue_USD,Region,On_Time_Performance_Percent,Year_Founded,Number_of_Employees,Fleet_Size,Headquarters,Electric_Locomotives,Diesel_Locomotives,High_Speed_Trains,Safety_Compliance_Score,Route_Count
3433.0,,,230.0,,16904.0,17.0,404466.67,992827.8,,86.22,1950,4031.0,235.0,,0.0,95.0,0.0,5.2,8.0
6311.0,Norfolk Southern,200.0,249.0,5000,,5.0,234975.51,767129.25,West,91.86,1900,3589.0,195.0,New York,0.0,59.0,0.0,6.5,20.0
6051.0,,300.0,352.0,5000,24740.0,,84657.51,330667.78,,65.46,1950,6269.0,67.0,Chicago,0.0,66.0,0.0,0.5,12.0
7420.0,CSX,300.0,478.0,,16104.0,6.0,322516.04,650150.39,Midwest,89.34,1950,8565.0,190.0,Atlanta,0.0,65.0,0.0,0.2,6.0
2184.0,,200.0,,2000,11558.0,18.0,449920.09,165323.39,Northeast,,,978.0,328.0,,0.0,45.0,1.0,3.1,30.0
5555.0,BNSF,100.0,124.0,,6847.0,5.0,460780.06,759716.58,Southeast,98.6,,2502.0,,Atlanta,,42.0,0.0,,39.0
4385.0,Amtrak,300.0,497.0,2000,44514.0,2.0,267002.03,220031.09,,96.93,1850,3933.0,257.0,Los Angeles,1.0,69.0,0.0,5.4,44.0
7396.0,Amtrak,200.0,293.0,,45657.0,18.0,55900.91,397991.76,Southeast,96.28,,6233.0,347.0,Chicago,0.0,83.0,0.0,0.6,4.0
9666.0,,400.0,320.0,2000,1685.0,5.0,320277.25,924861.81,Canada,90.35,1850,5852.0,244.0,,0.0,80.0,0.0,9.5,9.0
3558.0,Union Pacific,300.0,70.0,5000,14226.0,19.0,260501.83,644462.25,,65.92,2000,7398.0,354.0,Atlanta,0.0,72.0,0.0,8.5,33.0
8849.0,Canadian National,,85.0,,32351.0,1.0,473687.21,676380.58,Southeast,88.95,1900,3979.0,375.0,Los Angeles,0.0,10.0,0.0,0.8,38.0
3047.0,Norfolk Southern,300.0,247.0,8000,7665.0,6.0,448667.4,,Southeast,80.22,1850,4824.0,234.0,New York,0.0,90.0,1.0,,47.0
3747.0,Amtrak,200.0,202.0,2000,44729.0,4.0,454862.59,767316.23,Midwest,72.97,1900,,120.0,New York,1.0,94.0,0.0,5.0,30.0
1189.0,,200.0,93.0,,18469.0,9.0,402240.66,806714.71,Northeast,71.26,2000,3481.0,208.0,New York,0.0,28.0,0.0,0.5,19.0
3734.0,Norfolk Southern,200.0,178.0,8000,30781.0,12.0,162403.65,963231.51,Canada,84.97,,2042.0,94.0,Atlanta,0.0,72.0,0.0,0.5,27.0
4005.0,Union Pacific,100.0,91.0,10000,21012.0,11.0,309393.4,659741.78,Midwest,75.38,2000,7849.0,140.0,Los Angeles,0.0,97.0,0.0,9.9,3.0
5658.0,CSX,100.0,492.0,5000,34992.0,4.0,430750.82,905375.81,Southeast,78.65,2000,3635.0,369.0,Los Angeles,1.0,78.0,0.0,9.8,6.0
2899.0,Canadian National,400.0,82.0,2000,29360.0,11.0,403884.13,792339.63,Southeast,70.21,2000,4654.0,248.0,Los Angeles,0.0,39.0,0.0,3.3,46.0
8734.0,Union Pacific,400.0,408.0,2000,43599.0,17.0,420705.26,451107.97,Northeast,75.67,1850,6681.0,99.0,,0.0,27.0,0.0,0.0,29.0
2267.0,BNSF,300.0,465.0,10000,2836.0,2.0,264909.13,254792.41,Northeast,78.97,2000,7375.0,253.0,New York,0.0,93.0,0.0,9.2,9.0
2528.0,CSX,200.0,499.0,,45518.0,3.0,169588.17,956436.69,,77.18,1850,8063.0,136.0,,0.0,61.0,0.0,1.4,10.0
4556.0,CSX,400.0,458.0,2000,6716.0,10.0,78381.67,960998.38,Canada,,1850,5264.0,405.0,Chicago,0.0,,0.0,6.1,26.0
4890.0,CSX,200.0,345.0,2000,26273.0,18.0,175322.41,326887.2,Northeast,66.17,1900,9829.0,429.0,Los Angeles,0.0,30.0,0.0,6.5,5.0
9838.0,Union Pacific,300.0,491.0,2000,45126.0,2.0,58784.3,979530.45,Midwest,98.75,1850,5190.0,,Atlanta,,90.0,0.0,5.5,42.0
6393.0,BNSF,100.0,402.0,2000,45737.0,6.0,196918.24,612163.12,Northeast,65.84,1900,5435.0,,Los Angeles,0.0,64.0,0.0,8.0,44.0
9792.0,Canadian National,400.0,164.0,10000,18650.0,8.0,478627.09,359852.19,,65.79,1950,1140.0,199.0,Los Angeles,0.0,29.0,1.0,1.1,31.0
9433.0,Norfolk Southern,,407.0,5000,33279.0,3.0,170413.44,878685.69,Canada,97.16,,1541.0,218.0,Los Angeles,0.0,,0.0,4.5,39.0
8513.0,Union Pacific,,252.0,2000,1224.0,10.0,468645.55,715236.59,,75.47,1850,7453.0,53.0,,1.0,19.0,0.0,2.6,9.0
3612.0,Amtrak,,113.0,10000,47026.0,18.0,,523913.56,West,61.78,1850,861.0,481.0,New York,1.0,16.0,0.0,6.1,
8041.0,Amtrak,,,8000,17320.0,0.0,96280.2,535969.58,Northeast,77.0,2000,7036.0,338.0,New York,0.0,81.0,0.0,8.9,39.0
7235.0,Union Pacific,,333.0,2000,29342.0,3.0,415273.0,952514.01,,88.43,1850,5746.0,141.0,New York,0.0,,0.0,6.5,42.0
6486.0,Norfolk Southern,,272.0,,3160.0,8.0,476970.41,443668.87,Midwest,84.32,1950,7714.0,119.0,Atlanta,0.0,48.0,0.0,1.7,20.0
8099.0,Amtrak,,385.0,10000,44698.0,9.0,144629.52,434755.84,,83.83,,5321.0,473.0,Los Angeles,0.0,92.0,0.0,5.9,15.0
1775.0,Norfolk Southern,400.0,417.0,,1199.0,6.0,223274.33,437553.55,Northeast,99.91,1950,9267.0,413.0,,0.0,85.0,0.0,5.4,24.0
9226.0,CSX,,475.0,5000,47408.0,15.0,427091.0,947307.29,Southeast,77.11,2000,9457.0,271.0,Atlanta,1.0,,0.0,8.2,15.0
4152.0,Union Pacific,,259.0,8000,48892.0,9.0,113286.86,658255.05,,67.93,1850,8201.0,238.0,Chicago,1.0,,0.0,7.6,28.0
2585.0,CSX,300.0,135.0,,19222.0,9.0,302011.61,967672.36,Northeast,76.14,2000,5629.0,483.0,Los Angeles,0.0,60.0,0.0,2.1,2.0
4943.0,Amtrak,400.0,483.0,2000,35087.0,0.0,158635.48,760418.36,,89.94,1850,151.0,158.0,,0.0,76.0,0.0,0.2,39.0
8555.0,Norfolk Southern,300.0,276.0,10000,49560.0,3.0,394286.08,841670.19,,82.35,,6837.0,241.0,Atlanta,0.0,18.0,0.0,8.6,31.0
4073.0,CSX,200.0,411.0,8000,6400.0,2.0,328430.87,572682.9,Canada,79.62,1850,1087.0,,Chicago,0.0,96.0,0.0,0.5,7.0
2021.0,Amtrak,,353.0,10000,17081.0,2.0,327952.86,730072.1,Southeast,76.29,,3956.0,130.0,Los Angeles,,15.0,0.0,9.0,44.0
4843.0,,100.0,234.0,8000,7267.0,12.0,462297.83,360963.79,Canada,98.92,,6164.0,456.0,,1.0,44.0,0.0,4.4,45.0
8989.0,BNSF,,314.0,,40690.0,11.0,352588.33,170069.3,,86.54,2000,5668.0,251.0,,0.0,27.0,0.0,8.4,
7873.0,CSX,,463.0,5000,16448.0,16.0,116302.58,248648.21,Canada,89.47,,3647.0,11.0,Atlanta,,22.0,0.0,7.0,2.0
6675.0,BNSF,,451.0,10000,7881.0,18.0,128280.64,975318.41,Southeast,80.76,1850,3792.0,,Chicago,0.0,60.0,0.0,5.3,21.0
1161.0,BNSF,200.0,222.0,2000,16447.0,9.0,173579.29,161370.8,Canada,81.75,,,161.0,New York,0.0,38.0,0.0,6.8,24.0
5297.0,Canadian National,300.0,265.0,10000,11031.0,10.0,67074.02,489585.65,Northeast,71.74,1950,5290.0,477.0,Atlanta,0.0,84.0,0.0,,2.0
1995.0,Amtrak,400.0,415.0,5000,16519.0,7.0,214265.16,978347.05,,68.82,1950,4218.0,346.0,Chicago,0.0,83.0,0.0,9.4,25.0
8629.0,Union Pacific,200.0,132.0,,8042.0,19.0,222306.81,459877.8,,89.42,1950,4827.0,,,1.0,17.0,0.0,3.2,3.0
2016.0,Norfolk Southern,200.0,127.0,2000,32320.0,6.0,369261.59,873129.35,West,62.35,1950,558.0,,Atlanta,0.0,23.0,0.0,2.2,
8869.0,,200.0,371.0,2000,42081.0,1.0,197686.08,,Northeast,98.9,2000,2022.0,269.0,Los Angeles,1.0,82.0,0.0,8.3,37.0
7439.0,Amtrak,300.0,444.0,,20052.0,11.0,435439.18,558792.7,Northeast,95.04,,676.0,303.0,New York,0.0,83.0,0.0,8.1,30.0
8892.0,,,395.0,10000,20703.0,,222888.92,,West,91.93,1900,4419.0,358.0,New York,0.0,45.0,0.0,9.7,1.0
7863.0,Canadian National,,121.0,2000,35610.0,7.0,499719.79,767795.46,Canada,86.62,2000,6855.0,,New York,0.0,89.0,0.0,9.4,6.0
8916.0,,,320.0,,31800.0,7.0,263784.3,123966.01,,86.06,1900,8903.0,412.0,Los Angeles,,35.0,0.0,6.8,49.0
9529.0,CSX,,414.0,10000,32763.0,14.0,449332.66,791790.39,Midwest,89.77,2000,2137.0,478.0,New York,1.0,16.0,0.0,,5.0
1878.0,Norfolk Southern,,345.0,,43449.0,15.0,149386.88,352945.23,,96.61,1900,,299.0,Los Angeles,0.0,49.0,0.0,0.4,28.0
5887.0,Canadian National,400.0,190.0,5000,15200.0,3.0,51571.38,811355.79,,,1950,5144.0,22.0,,0.0,42.0,0.0,5.6,3.0
5859.0,Union Pacific,100.0,257.0,5000,49653.0,,280894.74,423821.21,,66.75,,5235.0,194.0,,0.0,88.0,0.0,0.9,6.0
7331.0,Amtrak,200.0,391.0,10000,20681.0,,281709.37,141126.25,West,63.45,1850,9420.0,398.0,Los Angeles,0.0,39.0,1.0,9.9,23.0
9571.0,Union Pacific,100.0,82.0,,,17.0,479744.09,110964.27,Canada,81.1,1850,3727.0,59.0,New York,0.0,,0.0,8.6,23.0
9684.0,CSX,400.0,,5000,6151.0,0.0,137880.37,906611.58,West,86.05,2000,7906.0,,,0.0,53.0,0.0,6.4,23.0
8208.0,Amtrak,,435.0,10000,35985.0,11.0,138716.6,941824.54,Canada,94.97,1900,2764.0,297.0,Chicago,1.0,61.0,0.0,2.2,24.0
6276.0,CSX,400.0,158.0,2000,46689.0,17.0,238752.47,402052.17,West,96.2,,9346.0,230.0,Los Angeles,0.0,23.0,0.0,0.9,49.0
3062.0,Norfolk Southern,400.0,415.0,2000,5047.0,10.0,282931.21,478596.41,Southeast,88.33,1850,4075.0,243.0,Chicago,1.0,83.0,0.0,0.7,46.0
1064.0,,100.0,211.0,8000,8078.0,12.0,338812.76,938834.09,West,96.32,,2342.0,84.0,Chicago,0.0,79.0,0.0,3.9,31.0
9006.0,Union Pacific,200.0,65.0,8000,48013.0,17.0,182647.12,529499.68,West,96.55,1850,9971.0,320.0,Atlanta,0.0,40.0,0.0,2.0,14.0
3568.0,Union Pacific,,63.0,8000,47783.0,3.0,169222.11,,Midwest,71.79,,4104.0,170.0,New York,0.0,99.0,0.0,6.4,21.0
6463.0,Norfolk Southern,300.0,280.0,5000,30699.0,0.0,428219.65,554797.19,West,75.05,1850,5208.0,36.0,New York,0.0,53.0,0.0,5.9,8.0
3027.0,BNSF,,295.0,2000,45258.0,12.0,272820.69,879836.28,Northeast,93.28,1900,8330.0,16.0,,0.0,43.0,0.0,9.1,29.0
3695.0,Norfolk Southern,,95.0,2000,38083.0,1.0,469192.24,955495.17,,99.5,1850,9488.0,68.0,Chicago,,,0.0,2.7,48.0
6258.0,,400.0,355.0,5000,48338.0,14.0,357535.17,755829.77,,65.26,1950,5066.0,224.0,Los Angeles,0.0,76.0,0.0,5.7,14.0
6618.0,Amtrak,,162.0,2000,5924.0,1.0,78101.23,318176.08,Canada,93.85,1850,804.0,197.0,Atlanta,0.0,42.0,0.0,,13.0
7736.0,,400.0,438.0,2000,45521.0,11.0,98259.99,232351.13,Midwest,70.1,1950,6737.0,354.0,Chicago,0.0,93.0,0.0,0.7,39.0
1391.0,CSX,300.0,92.0,10000,46901.0,,441307.66,127461.16,Southeast,83.9,1900,9107.0,272.0,Chicago,1.0,31.0,0.0,7.7,12.0
6892.0,Norfolk Southern,200.0,451.0,2000,20332.0,7.0,144792.57,712796.18,Midwest,79.61,2000,6793.0,386.0,,1.0,63.0,0.0,8.5,18.0
4561.0,Norfolk Southern,100.0,97.0,10000,8724.0,2.0,125591.66,800766.2,,86.92,2000,4901.0,229.0,Chicago,0.0,65.0,1.0,,7.0
7184.0,Canadian National,100.0,241.0,8000,47167.0,2.0,449437.79,681186.7,Northeast,,,6180.0,134.0,New York,0.0,77.0,1.0,5.6,
4099.0,CSX,200.0,459.0,,42090.0,0.0,479514.22,197224.63,Canada,76.38,1850,2314.0,369.0,Los Angeles,0.0,40.0,0.0,6.5,21.0
7278.0,Canadian National,300.0,251.0,10000,28670.0,3.0,343552.42,211382.36,Midwest,88.97,1850,9478.0,351.0,New York,0.0,51.0,0.0,4.3,48.0
9392.0,CSX,400.0,191.0,,5901.0,4.0,95709.75,653810.26,Canada,81.69,1950,3117.0,410.0,Chicago,0.0,77.0,0.0,1.2,38.0
4104.0,,100.0,499.0,,7050.0,12.0,59937.17,690210.15,West,81.46,1950,478.0,427.0,Chicago,0.0,23.0,0.0,8.9,30.0
8215.0,Amtrak,300.0,238.0,,49064.0,12.0,319472.88,318669.3,,95.57,,6043.0,95.0,New York,0.0,54.0,0.0,,31.0
3454.0,CSX,200.0,268.0,,36077.0,2.0,76527.65,460963.87,Southeast,91.69,1900,3368.0,201.0,New York,,78.0,0.0,2.3,34.0
9996.0,Union Pacific,,301.0,8000,37165.0,7.0,296713.72,940007.47,Midwest,75.14,2000,6675.0,189.0,,0.0,26.0,0.0,9.0,15.0
3731.0,Norfolk Southern,300.0,326.0,8000,43663.0,5.0,230822.76,161391.56,Midwest,78.93,1950,2276.0,275.0,Los Angeles,0.0,46.0,0.0,4.0,2.0
9154.0,CSX,300.0,360.0,,40678.0,0.0,64697.17,300123.0,Northeast,65.51,1900,3471.0,459.0,New York,0.0,61.0,,3.2,44.0
6056.0,Amtrak,,165.0,,34826.0,2.0,479311.2,841101.18,Northeast,61.0,2000,6594.0,85.0,Chicago,1.0,30.0,0.0,3.1,41.0
9110.0,CSX,300.0,413.0,2000,21876.0,9.0,54022.11,717373.77,Southeast,,2000,550.0,463.0,New York,1.0,34.0,0.0,4.6,30.0
4840.0,Norfolk Southern,100.0,51.0,10000,14848.0,19.0,209376.3,580903.16,Canada,81.05,1850,1157.0,155.0,Atlanta,0.0,52.0,0.0,2.2,47.0
2028.0,BNSF,100.0,436.0,10000,,15.0,412536.48,632116.17,Midwest,81.6,2000,1796.0,455.0,Atlanta,0.0,84.0,0.0,3.6,8.0
8385.0,CSX,100.0,62.0,,8760.0,3.0,488516.58,237340.69,Midwest,99.63,1900,6636.0,141.0,Atlanta,0.0,,,1.7,30.0
1502.0,Union Pacific,300.0,326.0,,5045.0,15.0,70324.19,684981.18,West,73.27,2000,7495.0,51.0,Atlanta,0.0,62.0,,8.7,22.0
7910.0,Norfolk Southern,300.0,466.0,5000,12586.0,12.0,477849.82,,Canada,82.61,1950,717.0,495.0,Chicago,1.0,22.0,0.0,4.1,43.0
7938.0,Amtrak,,301.0,,11819.0,3.0,201409.45,996771.11,Midwest,80.85,1900,8414.0,480.0,Atlanta,0.0,62.0,0.0,5.3,40.0
5488.0,,200.0,453.0,10000,16221.0,7.0,121313.06,124228.27,Midwest,82.97,,4314.0,178.0,,0.0,59.0,0.0,7.2,21.0
1206.0,,,430.0,2000,43926.0,17.0,420636.89,954626.36,,93.26,,,27.0,,0.0,,,6.3,9.0
,Norfolk Southern,300.0,277.0,5000,47811.0,14.0,339172.74,310939.29,,66.21,,9378.0,299.0,,0.0,76.0,0.0,2.9,40.0
6977.0,Canadian National,,195.0,10000,36329.0,12.0,94664.7,,Midwest,75.11,1900,970.0,215.0,Atlanta,0.0,99.0,0.0,9.8,38.0
8721.0,BNSF,400.0,266.0,2000,43028.0,0.0,328254.24,154350.74,Canada,82.02,1950,618.0,190.0,New York,0.0,92.0,0.0,3.2,20.0
8035.0,Amtrak,100.0,286.0,5000,23191.0,4.0,417469.5,671993.82,,62.52,2000,9189.0,443.0,Atlanta,0.0,32.0,1.0,1.5,24.0
2484.0,BNSF,200.0,343.0,5000,34701.0,11.0,297041.32,615279.28,Northeast,74.01,1950,4491.0,28.0,Chicago,0.0,93.0,1.0,3.5,49.0
8858.0,,,305.0,5000,45590.0,0.0,204187.66,813826.13,Canada,75.26,1850,4684.0,445.0,,0.0,65.0,1.0,4.8,9.0
1863.0,BNSF,100.0,330.0,5000,15851.0,12.0,146216.64,539200.75,West,65.88,1900,2023.0,,New York,0.0,45.0,0.0,6.9,44.0
3790.0,Union Pacific,200.0,215.0,5000,20131.0,,,705544.86,Southeast,97.99,1850,9328.0,499.0,,1.0,95.0,0.0,,36.0
8408.0,,100.0,192.0,5000,35542.0,12.0,229629.77,956931.71,Canada,73.14,1900,,437.0,New York,1.0,41.0,0.0,4.1,42.0
9755.0,CSX,300.0,287.0,8000,31768.0,12.0,424370.61,470864.55,West,85.48,1900,3056.0,334.0,Chicago,0.0,17.0,0.0,4.6,23.0
6116.0,Union Pacific,300.0,462.0,2000,10291.0,5.0,393883.04,526402.92,West,96.45,,4375.0,205.0,New York,1.0,61.0,0.0,5.8,21.0
7019.0,Union Pacific,100.0,146.0,10000,32265.0,16.0,388584.44,554161.46,,79.04,1950,3679.0,408.0,,0.0,18.0,1.0,5.3,37.0
2757.0,Canadian National,,241.0,,14099.0,18.0,,584338.4,Midwest,63.67,1950,8125.0,242.0,New York,1.0,47.0,0.0,6.1,37.0
8574.0,,,337.0,10000,4816.0,19.0,300030.03,325515.63,West,78.66,1950,3265.0,225.0,Atlanta,0.0,61.0,,7.6,2.0
7374.0,Amtrak,400.0,92.0,8000,33605.0,9.0,400820.59,307518.9,West,70.15,1850,8495.0,471.0,Los Angeles,0.0,70.0,,0.3,20.0
7892.0,CSX,200.0,318.0,8000,33731.0,4.0,445455.39,449074.95,Northeast,88.23,,2557.0,498.0,,0.0,62.0,0.0,,44.0
2678.0,CSX,200.0,,5000,14609.0,8.0,185433.48,876150.87,Southeast,75.29,1950,4701.0,235.0,Los Angeles,0.0,94.0,0.0,8.1,40.0
4242.0,,100.0,383.0,8000,6937.0,4.0,163304.63,837924.29,Northeast,93.94,2000,4905.0,110.0,New York,0.0,38.0,0.0,3.4,9.0
5636.0,Amtrak,,74.0,10000,23724.0,13.0,256447.29,138129.37,Southeast,87.23,1900,2520.0,370.0,Atlanta,0.0,65.0,0.0,8.8,20.0
2059.0,Union Pacific,100.0,354.0,8000,,4.0,298757.2,,Northeast,96.41,,7913.0,167.0,New York,1.0,37.0,1.0,4.5,4.0
7668.0,Union Pacific,,137.0,10000,37063.0,15.0,62662.64,365216.07,Southeast,75.51,1950,7337.0,459.0,,1.0,27.0,0.0,8.8,48.0
4157.0,BNSF,200.0,169.0,5000,11074.0,1.0,131800.64,144231.59,,91.48,,4386.0,468.0,,0.0,62.0,0.0,5.9,32.0
6915.0,,300.0,274.0,5000,25130.0,13.0,60005.67,454578.59,,92.65,,3842.0,64.0,Chicago,1.0,75.0,0.0,9.9,19.0
3693.0,,300.0,185.0,8000,35345.0,17.0,302767.37,187197.21,Northeast,62.33,2000,1461.0,85.0,Los Angeles,0.0,24.0,0.0,6.4,1.0
4627.0,BNSF,100.0,300.0,,2067.0,5.0,397002.94,316469.56,Canada,67.53,1900,4634.0,363.0,Atlanta,,63.0,0.0,9.3,41.0
6450.0,Canadian National,,461.0,5000,46091.0,9.0,421912.51,773502.86,Southeast,89.53,,1818.0,67.0,,1.0,75.0,0.0,4.6,18.0
2663.0,Norfolk Southern,,260.0,,30306.0,5.0,301300.57,147455.92,,83.79,1850,6154.0,387.0,New York,0.0,43.0,0.0,8.1,22.0
6592.0,BNSF,400.0,431.0,2000,19103.0,9.0,68516.31,498621.51,Canada,66.22,1950,4752.0,16.0,Los Angeles,0.0,76.0,0.0,9.9,15.0
8392.0,CSX,100.0,60.0,5000,11754.0,5.0,315825.81,280116.8,Midwest,89.78,1900,9390.0,396.0,,0.0,59.0,0.0,8.1,18.0
2306.0,Amtrak,100.0,488.0,8000,36185.0,2.0,229712.51,486335.62,,92.29,2000,6772.0,379.0,New York,1.0,77.0,0.0,0.7,17.0
7776.0,Union Pacific,100.0,59.0,5000,,11.0,431971.47,890263.46,West,80.75,,1685.0,397.0,Atlanta,0.0,53.0,0.0,0.9,16.0
6864.0,Norfolk Southern,100.0,364.0,8000,21262.0,19.0,232951.73,830210.83,,98.9,1900,,93.0,Chicago,0.0,63.0,0.0,3.5,39.0
8526.0,BNSF,,114.0,,23183.0,19.0,373193.18,469900.84,Midwest,73.03,,4193.0,251.0,New York,0.0,60.0,,4.9,24.0
9901.0,,,438.0,,28546.0,2.0,137633.44,240130.22,Canada,90.49,2000,3054.0,366.0,,0.0,,0.0,0.1,24.0
6575.0,Norfolk Southern,,129.0,,3114.0,0.0,465508.98,963684.03,West,98.84,1850,,247.0,,0.0,21.0,0.0,1.7,39.0
6530.0,Amtrak,400.0,453.0,10000,39628.0,19.0,182871.98,539775.96,,63.21,2000,1042.0,90.0,New York,0.0,70.0,0.0,6.3,20.0
5413.0,Amtrak,400.0,141.0,10000,26920.0,13.0,52609.86,232447.09,Southeast,87.04,1850,2977.0,129.0,New York,0.0,13.0,0.0,4.8,17.0
4748.0,,100.0,,10000,29617.0,2.0,86705.92,322849.41,Midwest,67.37,1900,174.0,171.0,Los Angeles,0.0,,0.0,0.2,29.0
1663.0,Norfolk Southern,,161.0,,,15.0,153213.79,845969.94,Midwest,67.18,,9817.0,100.0,,1.0,48.0,0.0,4.7,13.0
2998.0,Norfolk Southern,400.0,244.0,5000,35174.0,13.0,124468.37,292434.41,Canada,71.98,,4407.0,138.0,Chicago,1.0,47.0,0.0,6.5,21.0
8994.0,Canadian National,,463.0,2000,36557.0,2.0,135705.33,184678.6,Canada,91.86,1900,3835.0,405.0,Atlanta,0.0,59.0,0.0,8.3,34.0
2495.0,Norfolk Southern,,136.0,8000,32874.0,5.0,310658.84,375647.59,Canada,87.6,,2233.0,356.0,Atlanta,0.0,86.0,0.0,0.8,17.0
4304.0,Union Pacific,200.0,211.0,2000,27611.0,8.0,263012.45,769080.62,West,91.54,2000,2195.0,438.0,Chicago,0.0,66.0,0.0,4.2,3.0
4763.0,CSX,,418.0,8000,26994.0,0.0,370427.04,454524.87,West,60.32,2000,4735.0,249.0,,0.0,91.0,0.0,6.1,21.0
6232.0,BNSF,100.0,423.0,,19138.0,8.0,405649.91,270229.74,,70.22,,3947.0,,,0.0,64.0,1.0,4.6,41.0
2853.0,,100.0,397.0,5000,8831.0,11.0,,909055.17,Northeast,80.9,1950,2235.0,482.0,Chicago,1.0,86.0,0.0,0.1,43.0
,BNSF,200.0,50.0,2000,49325.0,1.0,316798.3,574396.73,Southeast,82.02,1900,6041.0,489.0,Atlanta,0.0,17.0,0.0,8.4,35.0
2291.0,BNSF,300.0,417.0,10000,32864.0,,399074.25,961272.45,,,2000,,367.0,Chicago,0.0,,0.0,3.8,42.0
4581.0,Norfolk Southern,400.0,460.0,10000,22875.0,,90451.76,950868.49,West,78.29,1950,,255.0,Chicago,0.0,,1.0,8.9,30.0
8554.0,,400.0,168.0,10000,6753.0,2.0,245289.06,647624.86,Midwest,77.72,1850,6852.0,186.0,New York,0.0,90.0,0.0,1.4,32.0
8280.0,Norfolk Southern,200.0,425.0,2000,37169.0,12.0,287786.85,508519.95,Southeast,97.02,2000,4806.0,235.0,,0.0,88.0,0.0,3.9,30.0
2636.0,Canadian National,200.0,303.0,5000,29651.0,8.0,319049.3,473295.4,,87.08,,6453.0,273.0,New York,0.0,97.0,0.0,0.3,32.0
,Norfolk Southern,400.0,240.0,5000,10375.0,7.0,294121.68,487782.01,Midwest,83.41,,2562.0,232.0,,1.0,,0.0,7.0,49.0
1698.0,Canadian National,300.0,339.0,10000,39589.0,8.0,207852.92,128289.88,Southeast,62.65,1900,5337.0,253.0,,0.0,46.0,0.0,1.4,21.0
5737.0,,300.0,400.0,2000,13214.0,7.0,179376.34,714334.36,,90.55,2000,3136.0,,Los Angeles,0.0,17.0,0.0,3.1,4.0
1854.0,Union Pacific,100.0,337.0,10000,30167.0,15.0,248350.65,381636.33,West,91.5,1900,1617.0,421.0,New York,1.0,14.0,0.0,8.2,19.0
9164.0,Union Pacific,200.0,165.0,8000,,2.0,79964.47,399424.05,,99.89,1950,6390.0,194.0,New York,0.0,,0.0,7.2,26.0
6855.0,Union Pacific,200.0,248.0,8000,44428.0,3.0,262024.67,806185.19,,68.58,1900,4580.0,435.0,Los Angeles,0.0,,1.0,4.3,3.0
8392.0,Union Pacific,200.0,284.0,2000,21237.0,0.0,484571.06,982099.25,West,84.89,1850,8946.0,308.0,,0.0,25.0,0.0,8.3,21.0
7528.0,Amtrak,400.0,279.0,8000,16665.0,6.0,74253.31,200921.75,,77.65,,5212.0,226.0,New York,0.0,42.0,0.0,2.6,36.0
